# All infantry equipment

equipments = {

	infantry_equipment = {
		year = 1960
	
		is_archetype = yes
		picture = archetype_infantry_equipment		
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = yes
		
		#Misc Abilities
		reliability = 0.9
		maximum_speed = 4

		#Defensive Abilities
		defense = 18
		breakthrough = 2
		hardness = 0
		armor_value = 0

		#Offensive Abilities
		soft_attack = 6
		hard_attack = 0.1
		ap_attack = 1
		air_attack = 0

		#Space taken in convoy
		lend_lease_cost = 1
		
		build_cost_ic = 0.43
		resources = {
			steel = 2
		}
		
	}

	infantry_equipment_0 = {
		year = 1960
	
		archetype = infantry_equipment
		active = yes
		priority = 5
		visual_level = 0
	}



	# 1970 equipment
	infantry_equipment_1 = {
		year = 1970
	
		archetype = infantry_equipment
		parent = infantry_equipment_0
		priority = 10
		visual_level = 1

		#Defensive Abilities
		defense = 20
		breakthrough = 3

		#Offensive Abilities
		soft_attack = 9
		hard_attack = 0.1
		ap_attack = 4
		air_attack = 0

		build_cost_ic = 0.50
	}

	# 1980 equipment
	infantry_equipment_2 = {
		year = 1980
	
		archetype = infantry_equipment
		parent = infantry_equipment_1
		priority = 10
		visual_level = 2
		
		#Defensive Abilities
		defense = 24
		breakthrough = 4

		#Offensive Abilities
		soft_attack = 10
		hard_attack = 0.1
		ap_attack = 5
		air_attack = 0
		
		build_cost_ic = 0.58
		resources = {
			steel = 2
		}
		
	}
	
	# 1990 equipment
	infantry_equipment_3 = {
		year = 1990
	
		archetype = infantry_equipment
		parent = infantry_equipment_2
		priority = 10
		visual_level = 3
		
		#Defensive Abilities
		defense = 28
		breakthrough = 5

		#Offensive Abilities
		soft_attack = 12
		hard_attack = 0.1
		ap_attack = 10
		air_attack = 0
		
		reliability = 0.8
		build_cost_ic = 0.69
		resources = {
			steel = 3
		}
	}

	infantry_equipment_4 = {
		year = 2000
	
		archetype = infantry_equipment
		parent = infantry_equipment_3
		priority = 10
		visual_level = 3
		
		#Defensive Abilities
		defense = 30
		breakthrough = 6

		#Offensive Abilities
		soft_attack = 15
		hard_attack = 0.1
		ap_attack = 11
		air_attack = 0
		
		reliability = 0.8
		build_cost_ic = 0.69
		resources = {
			steel = 3
		}
	}

	infantry_equipment_5 = {
		year = 2010
	
		archetype = infantry_equipment
		parent = infantry_equipment_4
		priority = 10
		visual_level = 3
		
		#Defensive Abilities
		defense = 30.8
		breakthrough = 8.3

		#Offensive Abilities
		soft_attack = 19
		hard_attack = 0.1
		ap_attack = 12
		air_attack = 0
		
		reliability = 0.8
		build_cost_ic = 0.69
		resources = {
			steel = 4
		}
	}

	infantry_equipment_6 = {
		year = 2015
	
		archetype = infantry_equipment
		parent = infantry_equipment_5
		priority = 10
		visual_level = 3
		
		#Defensive Abilities
		defense = 31
		breakthrough = 10

		#Offensive Abilities
		soft_attack = 20.3
		hard_attack = 0.1
		ap_attack = 12
		air_attack = 0
		
		reliability = 0.8
		build_cost_ic = 0.69
		resources = {
			steel = 4
		}
	}

	infantry_equipment_7 = {
		year = 2020
	
		archetype = infantry_equipment
		parent = infantry_equipment_6
		priority = 10
		visual_level = 3
		
		#Defensive Abilities
		defense = 32.3
		breakthrough = 11

		#Offensive Abilities
		soft_attack = 24
		hard_attack = 0.1
		ap_attack = 12
		air_attack = 0
		
		reliability = 0.8
		build_cost_ic = 0.69
		resources = {
			steel = 4
		}
	}

	#########################
	### bulletproof vests ###
	#########################
	bulletproof_vests_equipment = {
		year = 1960
	
		is_archetype = yes
		picture = archetype_bulletproof_vests_equipment	
		is_buildable = no
		type = infantry
		group_by = archetype
		
		interface_category = interface_category_land
		
		active = yes
		
		#Misc Abilities
		reliability = 0.9

		#Defensive Abilities
		defense = 6
		breakthrough = 2
		hardness = 0
		armor_value = 0

		#Space taken in convoy
		lend_lease_cost = 0.3
		
		build_cost_ic = 0.08
		resources = {
			steel = 1
		}
		
	}

	bulletproof_vests_equipment_0 = {
		year = 1960
	
		archetype = bulletproof_vests_equipment
		active = yes
		priority = 5
		visual_level = 0
	}



	# 1970 equipment
	bulletproof_vests_equipment_1 = {
		year = 1970
	
		archetype = bulletproof_vests_equipment
		parent = bulletproof_vests_equipment_0
		priority = 10
		visual_level = 1

		#Misc Abilities
		reliability = 0.9

		#Defensive Abilities
		defense = 3.5
		breakthrough = 2
		hardness = 0
		armor_value = 0

		#Space taken in convoy
		lend_lease_cost = 0.3
		
		build_cost_ic = 0.08
		resources = {
			steel = 1
		}
	}

	# 1980 equipment
	bulletproof_vests_equipment_2 = {
		year = 1980

		archetype = bulletproof_vests_equipment
		parent = bulletproof_vests_equipment_1
		priority = 10
		visual_level = 2
		
		#Misc Abilities
		reliability = 0.9

		#Defensive Abilities
		defense = 3.9
		breakthrough = 2
		hardness = 0
		armor_value = 0

		#Space taken in convoy
		lend_lease_cost = 0.3
		
		build_cost_ic = 0.09
		resources = {
			steel = 1
		}
		
	}
	
	# 1990 equipment
	bulletproof_vests_equipment_3 = {
